Word,Log Rank,Log Frequency
string of,2.6570558528571038,1.146128035678238
that her,2.6580113966571126,1.146128035678238
the biggest,2.658964842664435,1.146128035678238
the century,2.6599162000698504,1.146128035678238
the defendant,2.660865478003869,1.146128035678238
the european,2.661812685537261,1.146128035678238
the latest,2.662757831681574,1.146128035678238
the men,2.663700925389648,1.146128035678238
the past,2.6646419755561257,1.146128035678238
the women,2.6655809910179533,1.146128035678238
them to,2.6665179805548807,1.146128035678238
to say,2.667452952889954,1.146128035678238
two women,2.66838591669,1.146128035678238
was going,2.6693168805661123,1.146128035678238
well as,2.670245853074124,1.146128035678238
where the,2.6711728427150834,1.146128035678238
yesterday for,2.6720978579357175,1.146128035678238
a big,2.673020907128896,1.1139433523068367
a couple,2.673941998634088,1.1139433523068367
a great,2.6748611407378116,1.1139433523068367
a series,2.6757783416740852,1.1139433523068367
across the,2.6766936096248664,1.1139433523068367
and she,2.677606952720493,1.1139433523068367
around the,2.678518379040114,1.1139433523068367
as they,2.6794278966121188,1.1139433523068367
band s,2.680335513414563,1.1139433523068367
britain s,2.681241237375587,1.1139433523068367
but she,2.682145076373832,1.1139433523068367
come out,2.6830470382388496,1.1139433523068367
concentrate on,2.683947130751512,1.1139433523068367
could have,2.6848453616444123,1.1139433523068367
decision to,2.6857417386022635,1.1139433523068367
described as,2.6866362692622934,1.1139433523068367
died in,2.6875289612146345,1.1139433523068367
earlier this,2.6884198220027105,1.1139433523068367
expected to,2.6893088591236203,1.1139433523068367
for all,2.690196080028514,1.1139433523068367
from her,2.6910814921229687,1.1139433523068367
grievous bodily,2.69196510276736,1.1139433523068367
had not,2.69284691927723,1.1139433523068367
he could,2.693726948923647,1.1139433523068367
he will,2.694605198933569,1.1139433523068367
his first,2.6954816764901977,1.1139433523068367
his own,2.696356388733332,1.1139433523068367
i saw,2.6972293427597176,1.1139433523068367
in one,2.6981005456233897,1.1139433523068367
it the,2.6989700043360187,1.1139433523068367
led to,2.699837725867246,1.1139433523068367
miss casey,2.7007037171450192,1.1139433523068367
neck and,2.7015679850559273,1.1139433523068367
noel edmonds,2.7024305364455254,1.1139433523068367
not have,2.7032913781186614,1.1139433523068367
number of,2.7041505168397992,1.1139433523068367
of its,2.705007959333336,1.1139433523068367
of london,2.7058637122839193,1.1139433523068367
s home,2.7067177823367587,1.1139433523068367
set to,2.7075701760979363,1.1139433523068367
she could,2.708420900134713,1.1139433523068367
six weeks,2.709269960975831,1.1139433523068367
